company_id,company_name,industry,region,year,revenue,profit_margin,growth_rate,market_cap,profit
1,Company_1,Retail,Latin America,2015,459.2,6.0,0.0,337.5,27.552
1,Company_1,Retail,Latin America,2016,473.8,4.6,3.2,366.6,21.7948
1,Company_1,Retail,Latin America,2017,564.9,5.2,19.2,313.4,29.3748
1,Company_1,Retail,Latin America,2018,558.4,4.3,-1.1,283.0,24.0112
1,Company_1,Retail,Latin America,2019,554.5,4.9,-0.7,538.1,27.1705
1,Company_1,Retail,Latin America,2020,567.5,6.0,2.3,384.1,34.05
1,Company_1,Retail,Latin America,2021,604.2,5.2,6.5,479.3,31.418400000000005
1,Company_1,Retail,Latin America,2022,593.2,4.2,-1.8,248.4,24.914400000000004
1,Company_1,Retail,Latin America,2023,636.7,5.3,7.3,373.9,33.7451
1,Company_1,Retail,Latin America,2024,687.0,4.6,7.9,460.1,31.602
1,Company_1,Retail,Latin America,2025,734.5,5.0,6.9,628.8,36.725
2,Company_2,Retail,Asia,2015,2934.8,-2.9,0.0,1803.1,-85.1092
2,Company_2,Retail,Asia,2016,3140.3,-1.1,7.0,13885.2,-34.5433
2,Company_2,Retail,Asia,2017,3463.1,-2.2,10.3,5283.7,-76.18820000000001
2,Company_2,Retail,Asia,2018,2939.7,-1.7,-15.1,4408.0,-49.9749
2,Company_2,Retail,Asia,2019,3125.6,1.2,6.3,566.4,37.5072
2,Company_2,Retail,Asia,2020,2999.8,-0.3,-4.0,1997.8,-8.999400000000001
2,Company_2,Retail,Asia,2021,3167.9,-0.4,5.6,15634.9,-12.6716
2,Company_2,Retail,Asia,2022,3106.4,0.8,-1.9,514.3,24.851200000000002
2,Company_2,Retail,Asia,2023,3691.6,-0.7,18.8,2523.2,-25.841199999999997
2,Company_2,Retail,Asia,2024,3822.9,-1.2,3.6,5807.8,-45.8748
2,Company_2,Retail,Asia,2025,4371.5,-2.4,14.4,20376.3,-104.916
3,Company_3,Transportation,Latin America,2015,259.7,5.9,0.0,140.2,15.3223
3,Company_3,Transportation,Latin America,2016,245.2,8.5,-5.6,224.0,20.842000000000002
3,Company_3,Transportation,Latin America,2017,282.4,6.5,15.2,289.7,18.355999999999998
3,Company_3,Transportation,Latin America,2018,300.2,3.1,6.3,100.7,9.306199999999999
3,Company_3,Transportation,Latin America,2019,322.6,5.1,7.5,290.7,16.4526
3,Company_3,Transportation,Latin America,2020,337.9,2.7,4.7,76.5,9.1233
3,Company_3,Transportation,Latin America,2021,348.4,4.5,3.1,128.8,15.677999999999999
3,Company_3,Transportation,Latin America,2022,389.6,7.1,11.8,327.9,27.6616
3,Company_3,Transportation,Latin America,2023,415.2,8.1,6.6,498.7,33.6312
3,Company_3,Transportation,Latin America,2024,438.0,10.3,5.5,739.4,45.114000000000004
3,Company_3,Transportation,Latin America,2025,479.8,11.6,9.5,1020.7,55.6568
4,Company_4,Technology,Africa,2015,5036.7,21.2,0.0,23192.4,1067.7803999999999
4,Company_4,Technology,Africa,2016,5192.5,25.1,3.1,25137.8,1303.3175
4,Company_4,Technology,Africa,2017,5497.1,23.4,5.9,33251.0,1286.3214
4,Company_4,Technology,Africa,2018,5978.5,26.1,8.8,31801.0,1560.3885
4,Company_4,Technology,Africa,2019,6529.4,28.2,9.2,42706.4,1841.2907999999998
4,Company_4,Technology,Africa,2020,6123.5,30.6,-6.2,38574.1,1873.791
4,Company_4,Technology,Africa,2021,5784.3,29.4,-5.5,37578.6,1700.5842
4,Company_4,Technology,Africa,2022,5711.3,26.1,-1.3,35339.1,1490.6493
4,Company_4,Technology,Africa,2023,5844.2,26.5,2.3,34781.6,1548.713
4,Company_4,Technology,Africa,2024,6555.1,26.0,12.2,45451.6,1704.3260000000002
4,Company_4,Technology,Africa,2025,7675.6,22.9,17.1,42400.4,1757.7124
5,Company_5,Finance,Middle East,2015,2720.9,16.1,0.0,3884.5,438.0649
5,Company_5,Finance,Middle East,2016,2647.4,17.6,-2.7,9275.6,465.9424000000001
5,Company_5,Finance,Middle East,2017,2553.4,19.9,-3.6,9760.9,508.1266
5,Company_5,Finance,Middle East,2018,2758.9,22.6,8.1,7367.6,623.5114000000001
5,Company_5,Finance,Middle East,2019,2746.9,21.3,-0.4,11365.5,585.0897
5,Company_5,Finance,Middle East,2020,3243.0,19.3,18.1,10066.1,625.899
5,Company_5,Finance,Middle East,2021,3120.1,19.3,-3.8,8787.3,602.1793
5,Company_5,Finance,Middle East,2022,3094.2,20.1,-0.8,9600.4,621.9342
